cites,cited_by
649def34f8be52c8b66281af98ae884c09aef38b,5d1b955e38073fc13c82ba46801e300dc1a70a9b
649def34f8be52c8b66281af98ae884c09aef38b,0db5207510819b9956849eb84bfe8703f8f3688d
649def34f8be52c8b66281af98ae884c09aef38b,b5aa72becfb20fae00a15a8169e0a4d873cf6013
649def34f8be52c8b66281af98ae884c09aef38b,bf0ba3559ecfa02175a15217d3b61afe10f09de7
649def34f8be52c8b66281af98ae884c09aef38b,f11512e1213e756a4ed319e11fb4518b9fa17ccb
649def34f8be52c8b66281af98ae884c09aef38b,f2df1a1c2c157bf53233a6648deb5135746fec43
649def34f8be52c8b66281af98ae884c09aef38b,8dc1e4bac2d0403ba4bec7bcb8abb7534c53ab1f
649def34f8be52c8b66281af98ae884c09aef38b,33059ea93b05ca18d1e9b0612901d22305c80910
649def34f8be52c8b66281af98ae884c09aef38b,f6150ecb06e4abab36c4bb030dc914b576ee4170
649def34f8be52c8b66281af98ae884c09aef38b,a80ea6789cda5a715ba9f29d82e0241f8aea970d
649def34f8be52c8b66281af98ae884c09aef38b,90d1c18f33ca7e8c44cff2c115f0ddf7faa94907
649def34f8be52c8b66281af98ae884c09aef38b,886a5ca5b6aeae63cef6e4eed468d9338c35fbcb
649def34f8be52c8b66281af98ae884c09aef38b,1980f7230a4c1871cedc856ce836b8d1f62d10e8
649def34f8be52c8b66281af98ae884c09aef38b,3835abf96c37770d7ca3bc3a29fe1db728715716
649def34f8be52c8b66281af98ae884c09aef38b,8306606fd04eddcdd527b03c728901ab632a084b
649def34f8be52c8b66281af98ae884c09aef38b,59c4df0f1dd75db4a5e25f4fb860040244949089
649def34f8be52c8b66281af98ae884c09aef38b,17d7fd18123e12efbb9c255c8b986a5e84578b07
649def34f8be52c8b66281af98ae884c09aef38b,b820e740cce5af181a47aa3f3e111447e21c3e24
649def34f8be52c8b66281af98ae884c09aef38b,1346d703959399ba404f251290d0352f0631d242
649def34f8be52c8b66281af98ae884c09aef38b,67dcf28decf748534e1c0d22315d2d3aae54d7d4
649def34f8be52c8b66281af98ae884c09aef38b,0905b384bc98e40c5a9ca20027f5fab3fbc455b4
649def34f8be52c8b66281af98ae884c09aef38b,e14b9ecf6edd6f36a8cf5e4916d9c5ca5b88d806
649def34f8be52c8b66281af98ae884c09aef38b,2f886811cf7cde2f0d9a19d821f46146f24e6e4a
649def34f8be52c8b66281af98ae884c09aef38b,ff1071f27b6990e71954470de2a9602f8eef8c0a
649def34f8be52c8b66281af98ae884c09aef38b,4bfa4a1a29376f287992c2f02582110750a904bb
649def34f8be52c8b66281af98ae884c09aef38b,582616fe83a85f095a16778c28297723e25b0ea7
649def34f8be52c8b66281af98ae884c09aef38b,96b8611c3e8d887362df292522debe2c3cfa1def
649def34f8be52c8b66281af98ae884c09aef38b,3ea8767b852253e2636b6e57925be7fcc1d739df
649def34f8be52c8b66281af98ae884c09aef38b,fdea5396e8a945692a3449d9aae4dc7136cbd2a7
649def34f8be52c8b66281af98ae884c09aef38b,b146be9e80c66a6e062a1525693311fac65ae19e
649def34f8be52c8b66281af98ae884c09aef38b,fbd10a298b4bee915f99224342bf0088cceb015d
649def34f8be52c8b66281af98ae884c09aef38b,5cc3379090fefad86d2d3e874364ba7babbcbca4
649def34f8be52c8b66281af98ae884c09aef38b,de9d0eb23b53034604bae487c127f4785ef779f5
649def34f8be52c8b66281af98ae884c09aef38b,86bca4f379e5e626430193f6bc5731be027d043d
649def34f8be52c8b66281af98ae884c09aef38b,6fbcb1b9dddff9641cb764f9f6c3ebfa516ce976
649def34f8be52c8b66281af98ae884c09aef38b,d30e218ba0980d76cfd83e04739591e17f3933fe
649def34f8be52c8b66281af98ae884c09aef38b,beabb3d31625fbbdba7e720d4d5baa6aac5d7b16
649def34f8be52c8b66281af98ae884c09aef38b,bf37e581f9d2447bf732b8502c8aff5141a88f06
649def34f8be52c8b66281af98ae884c09aef38b,0bee172e0d361aaed77f9677f59df944675f99b7
649def34f8be52c8b66281af98ae884c09aef38b,3ad0a7051db98a083aa3b9e962769ecf2cde4d44
649def34f8be52c8b66281af98ae884c09aef38b,61e06615f6cee5ed1ba7d22b801925b69a45653b
649def34f8be52c8b66281af98ae884c09aef38b,23c8ff06cc2dbd01388f60779583a0ebdae2fb14
649def34f8be52c8b66281af98ae884c09aef38b,d4e4a545160d8a6eba5338463168f51e8cbe411e
649def34f8be52c8b66281af98ae884c09aef38b,d2a3b3646a3d4cf1eccabbb8b980533e0836a3f5
649def34f8be52c8b66281af98ae884c09aef38b,87e367d76e5c63c834bf77b4f6ea8bce6cdb5553
649def34f8be52c8b66281af98ae884c09aef38b,f95620883ce631dcca296d6301ab094555a9b1c4
649def34f8be52c8b66281af98ae884c09aef38b,69285c9040c1356272752499b7e1e53ef25ac008
649def34f8be52c8b66281af98ae884c09aef38b,f70d4f4dd51b43444d0d612e54711bef0fb4fa14
649def34f8be52c8b66281af98ae884c09aef38b,8c19883bc33282985af977fd3f3cc4b6ac5b15d3
649def34f8be52c8b66281af98ae884c09aef38b,90614889fe7dcd3c56849e94a7dbf455d11c1834
649def34f8be52c8b66281af98ae884c09aef38b,91ad9c6345723717b9cf77727482195834620060
649def34f8be52c8b66281af98ae884c09aef38b,97dc4d4620c2b2d12d6b07a4127f3fddcf126b94
649def34f8be52c8b66281af98ae884c09aef38b,f9f19505a45a76c39e394cccea050d20e425de17
649def34f8be52c8b66281af98ae884c09aef38b,c4358134954d8e62939c3a8b9ba8e953d951f73b
649def34f8be52c8b66281af98ae884c09aef38b,a83902f8b3aadfda633968a840ca1738bedef837
649def34f8be52c8b66281af98ae884c09aef38b,4fb435fe5c3c84721e07653bafda3caadf2ebffb
649def34f8be52c8b66281af98ae884c09aef38b,1b78ca26e161bc824e75cf5b3d582a3561a1a16e
649def34f8be52c8b66281af98ae884c09aef38b,3d59ad3f87f80bb3382ec91bb9ec636515547ab1
649def34f8be52c8b66281af98ae884c09aef38b,c15854c9cb2df5e58380b3aefbdd2b0bc55ebca4
649def34f8be52c8b66281af98ae884c09aef38b,d25121da56c9050137800c69520111b30201d1ed
649def34f8be52c8b66281af98ae884c09aef38b,88d3229660f8f67e0bfd9689b0cf9ef08ad92106
649def34f8be52c8b66281af98ae884c09aef38b,d331de3b6bebb0f9af1fddf1b730ec057a7026d4
649def34f8be52c8b66281af98ae884c09aef38b,76e31cac217d8af2dc91b6dbe5265c8066fffa46
649def34f8be52c8b66281af98ae884c09aef38b,54a516aedb5668a67070f70a9f895c8d7391a86d
649def34f8be52c8b66281af98ae884c09aef38b,10247d86d6b9ea3218d73b1e64ea7ed4b1121752
649def34f8be52c8b66281af98ae884c09aef38b,879eaab2275a364549809560b42f0fef357ebbce
649def34f8be52c8b66281af98ae884c09aef38b,9fd46013a7188a76da0d610fc54d8879200cce17
649def34f8be52c8b66281af98ae884c09aef38b,c3b19870cbd320ad554498139e474644768576b6
649def34f8be52c8b66281af98ae884c09aef38b,dfeb14849634814da58df726a97f986da2e2cacc
649def34f8be52c8b66281af98ae884c09aef38b,04eb972bda6e775d5a15ee49541afca3e3cc93db
649def34f8be52c8b66281af98ae884c09aef38b,a155b53e05976d7d8801eeeb1a74dfd82639d543
649def34f8be52c8b66281af98ae884c09aef38b,69b184f62c97513b03deed96a1443f79b34af0d7
649def34f8be52c8b66281af98ae884c09aef38b,5ea19f443aa86001147caf5b874c75e2d407a246
649def34f8be52c8b66281af98ae884c09aef38b,ea3e78210e1369bd753aa76c13402606967d8cec
649def34f8be52c8b66281af98ae884c09aef38b,2d7d78b95c48b09359fd86ab0108328d69101719
649def34f8be52c8b66281af98ae884c09aef38b,e4f0fac0f64945b5b2d91d45541b5b2ebbf993c5
649def34f8be52c8b66281af98ae884c09aef38b,f8d11695f7f9d7325b9043f3b39fc623eeff9d4d
649def34f8be52c8b66281af98ae884c09aef38b,f03f38647a616a3471183f587f2b3684a9a3057f
649def34f8be52c8b66281af98ae884c09aef38b,e877fcfdddaeddd46f7f1afd70eb2e1c7a4bdfae
649def34f8be52c8b66281af98ae884c09aef38b,cf479ea1cba51b7083702a918001fbc667bdff1c
649def34f8be52c8b66281af98ae884c09aef38b,dcaf764feb4bfe9ce5a51546af2ba9d91cb1e912
649def34f8be52c8b66281af98ae884c09aef38b,3fd81526f7160d2dba1d943ef7a0862bb7fa0531
649def34f8be52c8b66281af98ae884c09aef38b,ce1715982ba4ae45ed235e11142238485b0db9fe
649def34f8be52c8b66281af98ae884c09aef38b,0f5843cd34c3d12a07769cee510a007d94dd44c1
649def34f8be52c8b66281af98ae884c09aef38b,2f014ed269c77bdf1286bb540278199fb45adea1
649def34f8be52c8b66281af98ae884c09aef38b,59da4f7d85967d922b5d674779ffcee06f186c73
649def34f8be52c8b66281af98ae884c09aef38b,823fe97a65f34abbc60f33179751b808ce60919f
649def34f8be52c8b66281af98ae884c09aef38b,76ad0d37bd3845431b3ca9d07f8db74c82752298
649def34f8be52c8b66281af98ae884c09aef38b,42044639a2fe3d53daed715a4dd4bc4536361058
649def34f8be52c8b66281af98ae884c09aef38b,c562d4c311a603ea768b9f002b4fccda617e4543
649def34f8be52c8b66281af98ae884c09aef38b,f9a734ab1200730b2260a4a39d659e00a0143dda
649def34f8be52c8b66281af98ae884c09aef38b,fc5f304e56b1724dfd6b09845b1edf4efe592341
649def34f8be52c8b66281af98ae884c09aef38b,061c1a06d47170fa30f62018eee441a90f6967ce
649def34f8be52c8b66281af98ae884c09aef38b,8af3de56807c32172b06982cf785c9c8b14d117a
649def34f8be52c8b66281af98ae884c09aef38b,b9ece2558147a1ec16be1257f5b3b84b34e2d608
649def34f8be52c8b66281af98ae884c09aef38b,e7e46bc5ef80187084d2d2c626ca95e68ee6e74b
649def34f8be52c8b66281af98ae884c09aef38b,3b2664a15b46e95eecb9573f21c36892037b0264
649def34f8be52c8b66281af98ae884c09aef38b,e663f431579bdde874795c4e0ae6b58249de695f
649def34f8be52c8b66281af98ae884c09aef38b,284fd250280c07b64a1a1c69abf098f02d632e8a
649def34f8be52c8b66281af98ae884c09aef38b,a946d369760b4505774b6cd24825cefc0c08eff8
649def34f8be52c8b66281af98ae884c09aef38b,2e747fb6aec192e89ac8b3fc98f56f4a55f8bb71
