written_by,writes
2166234976,4772df95a893061e0fedc9a09c56f95d8926fb9d
2294376453,4772df95a893061e0fedc9a09c56f95d8926fb9d
2317130623,4772df95a893061e0fedc9a09c56f95d8926fb9d
2161564794,4b54be5847567d6980584078b88490535da1a804
134880677,4b54be5847567d6980584078b88490535da1a804
2139701741,4b54be5847567d6980584078b88490535da1a804
2257128517,4b54be5847567d6980584078b88490535da1a804
8035829,ca48013d99a608e800ae34388fe9fba9ea6ca280
2111507761,ca48013d99a608e800ae34388fe9fba9ea6ca280
3715852,ca48013d99a608e800ae34388fe9fba9ea6ca280
2289107754,ca48013d99a608e800ae34388fe9fba9ea6ca280
2132547664,ca48013d99a608e800ae34388fe9fba9ea6ca280
2289109059,ca48013d99a608e800ae34388fe9fba9ea6ca280
2289109326,ca48013d99a608e800ae34388fe9fba9ea6ca280
3383502,ca48013d99a608e800ae34388fe9fba9ea6ca280
49891156,3dd5ad34012164c4ec9c571a12cc6a7561683dea
29963551,3dd5ad34012164c4ec9c571a12cc6a7561683dea
2057050247,3dd5ad34012164c4ec9c571a12cc6a7561683dea
2307033488,3dd5ad34012164c4ec9c571a12cc6a7561683dea
2279225650,3dd5ad34012164c4ec9c571a12cc6a7561683dea
2283212563,3dd5ad34012164c4ec9c571a12cc6a7561683dea
2257136881,3dd5ad34012164c4ec9c571a12cc6a7561683dea
2304164966,02487e9dfefdcb667be4dc160780321555662a2e
2313157472,02487e9dfefdcb667be4dc160780321555662a2e
2307206343,02487e9dfefdcb667be4dc160780321555662a2e
2303435116,02487e9dfefdcb667be4dc160780321555662a2e
2275541506,02487e9dfefdcb667be4dc160780321555662a2e
2257349205,02487e9dfefdcb667be4dc160780321555662a2e
2284591355,02487e9dfefdcb667be4dc160780321555662a2e
2021011947,02487e9dfefdcb667be4dc160780321555662a2e
2257314969,02487e9dfefdcb667be4dc160780321555662a2e
2305357713,0f2afff2ab839fcb8a52c24ee35825db03923810
2068561924,0f2afff2ab839fcb8a52c24ee35825db03923810
2304889243,0f2afff2ab839fcb8a52c24ee35825db03923810
2280943921,0f2afff2ab839fcb8a52c24ee35825db03923810
27083453,937aa9229358b0c19ad3b9d224eb0599e0552986
3328733,937aa9229358b0c19ad3b9d224eb0599e0552986
2212791328,937aa9229358b0c19ad3b9d224eb0599e0552986
2203427167,937aa9229358b0c19ad3b9d224eb0599e0552986
2071601396,937aa9229358b0c19ad3b9d224eb0599e0552986
2087062598,937aa9229358b0c19ad3b9d224eb0599e0552986
2196559465,937aa9229358b0c19ad3b9d224eb0599e0552986
2295464506,937aa9229358b0c19ad3b9d224eb0599e0552986
46258841,937aa9229358b0c19ad3b9d224eb0599e0552986
2253199135,937aa9229358b0c19ad3b9d224eb0599e0552986
2260650470,937aa9229358b0c19ad3b9d224eb0599e0552986
1780531,937aa9229358b0c19ad3b9d224eb0599e0552986
1928141171,3a66e3a6fe1f9e1d95140f0c8fefc4ff964ba89d
2354410081,3a66e3a6fe1f9e1d95140f0c8fefc4ff964ba89d
2258821789,3a66e3a6fe1f9e1d95140f0c8fefc4ff964ba89d
47971141,46c96074a4e33e90bc01b3c869cac9ea3a0b8fe7
1691686,46c96074a4e33e90bc01b3c869cac9ea3a0b8fe7
2066962303,d33856de0e4f1499d6a48fdbd91e92700127b2fe
2243005966,d33856de0e4f1499d6a48fdbd91e92700127b2fe
2248919040,e11c67919830bb0a29a86b05936d467227accc81
2396674349,e11c67919830bb0a29a86b05936d467227accc81
32187939,e11c67919830bb0a29a86b05936d467227accc81
2165722548,e11c67919830bb0a29a86b05936d467227accc81
2299054206,e11c67919830bb0a29a86b05936d467227accc81
1753416672,c5a528afd98274902b4987b887f19ecd282ca8bd
2268847175,c5a528afd98274902b4987b887f19ecd282ca8bd
46883364,c5a528afd98274902b4987b887f19ecd282ca8bd
2109103060,c5a528afd98274902b4987b887f19ecd282ca8bd
47451980,ce2beb2ad9efa56abdc59f4c613bda52cc11803c
31763053,ce2beb2ad9efa56abdc59f4c613bda52cc11803c
1781286404,ce2beb2ad9efa56abdc59f4c613bda52cc11803c
2054452310,ce2beb2ad9efa56abdc59f4c613bda52cc11803c
2285630764,ce2beb2ad9efa56abdc59f4c613bda52cc11803c
2238570161,ce2beb2ad9efa56abdc59f4c613bda52cc11803c
2266767058,6d66d55bd147f3f44830e86b4514da27aa00570f
2157337597,6d66d55bd147f3f44830e86b4514da27aa00570f
48147088,6d66d55bd147f3f44830e86b4514da27aa00570f
2284112591,6d66d55bd147f3f44830e86b4514da27aa00570f
15897220,6d66d55bd147f3f44830e86b4514da27aa00570f
1941507,6d66d55bd147f3f44830e86b4514da27aa00570f
2293312099,3f68ce247d93fae97f62f68fce175f0c3fdb425b
2293313831,3f68ce247d93fae97f62f68fce175f0c3fdb425b
2264478325,3f68ce247d93fae97f62f68fce175f0c3fdb425b
2293314240,3f68ce247d93fae97f62f68fce175f0c3fdb425b
2265063862,3f68ce247d93fae97f62f68fce175f0c3fdb425b
2293550345,3f68ce247d93fae97f62f68fce175f0c3fdb425b
2263943236,3f68ce247d93fae97f62f68fce175f0c3fdb425b
2051750606,1571d11e5c22d0bdefce3f6ffa333f040a2e409d
39960971,1571d11e5c22d0bdefce3f6ffa333f040a2e409d
1508853659,1571d11e5c22d0bdefce3f6ffa333f040a2e409d
2085072010,61313651e06abb093dfa3fd4430a1f5b146d5b35
2290769807,61313651e06abb093dfa3fd4430a1f5b146d5b35
150148479,b4076046f55b8005d82489728df5ea24ffcd0281
3439180,b4076046f55b8005d82489728df5ea24ffcd0281
2048053804,b798cf6af813638fab09a8af6ad0f3df6c241485
2261406713,b798cf6af813638fab09a8af6ad0f3df6c241485
2237094367,b798cf6af813638fab09a8af6ad0f3df6c241485
2265729351,b798cf6af813638fab09a8af6ad0f3df6c241485
1572164529,f958280f92eb3b23608f5525b94b1a7c25dfff0b
2325881690,f958280f92eb3b23608f5525b94b1a7c25dfff0b
2356417217,f958280f92eb3b23608f5525b94b1a7c25dfff0b
3255268,f958280f92eb3b23608f5525b94b1a7c25dfff0b
2267861843,adb68c59226e1c3ce5ea9c259c760a738a4870df
2283133021,adb68c59226e1c3ce5ea9c259c760a738a4870df
2191728751,adb68c59226e1c3ce5ea9c259c760a738a4870df
2000912578,adb68c59226e1c3ce5ea9c259c760a738a4870df
2267751251,adb68c59226e1c3ce5ea9c259c760a738a4870df
2179569486,89abfcec27ae484c368c25b0a1441aaa3bf6e408
1401773209,89abfcec27ae484c368c25b0a1441aaa3bf6e408
2192534791,89abfcec27ae484c368c25b0a1441aaa3bf6e408
2262493920,89abfcec27ae484c368c25b0a1441aaa3bf6e408
1708929,89abfcec27ae484c368c25b0a1441aaa3bf6e408
90187611,67335a676ae3b4e17a4494edf19b2101484cd5b4
3185174,67335a676ae3b4e17a4494edf19b2101484cd5b4
2254258923,f00ebe66750aa1996f78b30b8bb77cbf92fab085
2280333448,dfbbea9a828d5e5ffeb22089a5386379d91a524f
40858979,dfbbea9a828d5e5ffeb22089a5386379d91a524f
2278700433,cd74e0bdd54599e79b41106d1c66adeebc1bff68
2148269079,cd74e0bdd54599e79b41106d1c66adeebc1bff68
13427974,cd74e0bdd54599e79b41106d1c66adeebc1bff68
2240213656,cd74e0bdd54599e79b41106d1c66adeebc1bff68
2225092617,93886752191db25efd096a65af7b09df5c0a64e0
2175310417,93886752191db25efd096a65af7b09df5c0a64e0
2278471697,93886752191db25efd096a65af7b09df5c0a64e0
2278404548,93886752191db25efd096a65af7b09df5c0a64e0
2128911389,93886752191db25efd096a65af7b09df5c0a64e0
2179089074,93886752191db25efd096a65af7b09df5c0a64e0
2278618280,93886752191db25efd096a65af7b09df5c0a64e0
2278379365,93886752191db25efd096a65af7b09df5c0a64e0
3221527,1347323c30180b5d5528abace9d36ba0d2dbf3c1
2260336586,1347323c30180b5d5528abace9d36ba0d2dbf3c1
2223034633,ad1fda48e35b7e53556912715a2daef84e5363a3
2250873973,bf71acf9684658be6bea32447d838640af679654
2304146203,bf71acf9684658be6bea32447d838640af679654
2275215754,4739e96fb40091b0d15bd22750b143e1fcef05c7
2178395648,4739e96fb40091b0d15bd22750b143e1fcef05c7
2357432879,4739e96fb40091b0d15bd22750b143e1fcef05c7
2275468132,4739e96fb40091b0d15bd22750b143e1fcef05c7
151450367,4739e96fb40091b0d15bd22750b143e1fcef05c7
2046154473,6d0cd4b71bc98ec5f5a5b6b8050bf2339dadffcf
2240169793,6d0cd4b71bc98ec5f5a5b6b8050bf2339dadffcf
2109353169,6d0cd4b71bc98ec5f5a5b6b8050bf2339dadffcf
2214765094,6d0cd4b71bc98ec5f5a5b6b8050bf2339dadffcf
120897486,ed4e20bcd73b1138d3bb2ed4dbbf5e8b224ef5c7
37198550,ed4e20bcd73b1138d3bb2ed4dbbf5e8b224ef5c7
153194420,ed4e20bcd73b1138d3bb2ed4dbbf5e8b224ef5c7
2153258288,ed4e20bcd73b1138d3bb2ed4dbbf5e8b224ef5c7
2199011713,ed4e20bcd73b1138d3bb2ed4dbbf5e8b224ef5c7
2114009661,ed4e20bcd73b1138d3bb2ed4dbbf5e8b224ef5c7
143971529,ed4e20bcd73b1138d3bb2ed4dbbf5e8b224ef5c7
