authorId,name
1721851,E. Motta
71564931,Jens Lehmann
1736067,Isabelle Augenstein
3458679,O. Cocarascu
2064036342,A. McLean
2093578348,Paul French
49973505,Francesca Toni
49753393,Dustin Wright
1736067,Isabelle Augenstein
145872970,David Solans
41127724,Christopher Tauchmann
120124017,Aideen Farrell
1948542,K. Kappler
2058338259,Hans-Hendrik Huber
2082412452,Carlos Castillo
1746871,K. Kersting
145231047,V. Koltun
2064572518,David Hafner
1602993448,Kayo Yin
73769459,Amit Moryossef
1738680812,J. Hochgesang
79775260,Yoav Goldberg
2715920,Malihe Alikhani
49772110,Martin Schmitt
144282279,Leonardo Ribeiro
35501453,Philipp Dufter
1730400,Iryna Gurevych
144418438,Hinrich Schütze
46579215,L. Versluis
1760940,A. Iosup
51308420,A. Oelen
